id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Arroz, integral, cozido;70.1;124;517;2.6;1.0;0;25.8;2.7;0.5;5;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arroz, integral, cru;12.2;360;1505;7.3;1.9;0;77.5;4.8;1.2;8;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Arroz, tipo 1, cozido;69.1;128;537;2.5;0.2;0;28.1;1.6;0.1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Arroz, tipo 1, cru;13.2;358;1497;7.2;0.3;0;78.8;1.6;0.5;4;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Arroz, tipo 2, cozido;68.7;130;544;2.6;0.4;0;28.2;1.1;0.1;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Arroz, tipo 2, cru;13.2;358;1498;7.2;0.3;0;78.9;1.7;0.4;5;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Aveia, flocos, crua;9.1;394;1648;13.9;8.5;0;66.6;9.1;1.8;48;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Biscoito, doce, maisena;3.2;443;1853;8.1;12.0;0;75.2;2.1;1.5;54;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Biscoito, doce, recheado com chocolate;2.2;472;1974;6.4;19.6;0;70.5;3.0;1.3;27;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Biscoito, doce, recheado com morango;2.7;471;1971;5.7;19.6;0;71.0;1.5;1.0;36;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Biscoito, doce, wafer, recheado de chocolate;1.2;502;2102;5.6;24.7;0;67.5;1.8;1.1;23;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Biscoito, doce, wafer, recheado de morango;1.2;513;2148;4.5;26.4;1;67.4;0.8;0.6;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Biscoito, salgado, cream cracker;4.1;432;1806;10.1;14.4;0;68.7;2.5;2.7;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Bolo, mistura para;1.0;419;1752;6.2;6.1;0;84.7;1.7;2.0;59;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Bolo, pronto, aipim;34.1;324;1355;4.4;12.7;73;47.9;0.7;0.8;85;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Bolo, pronto, chocolate;19.3;410;1715;6.2;18.5;77;54.7;1.4;1.3;75;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Bolo, pronto, coco;29.3;333;1395;5.7;11.3;63;52.3;1.1;1.4;57;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Bolo, pronto, milho;36.7;311;1303;4.8;12.4;82;45.1;0.7;1.0;83;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Canjica, branca, crua;13.6;358;1496;7.2;1.0;0;78.1;5.5;0.2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Canjica, com leite integral;72.5;112;471;2.4;1.2;1;23.6;1.2;0.3;43;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Cereais, milho, flocos, com sal;9.3;370;1546;7.3;1.6;0;80.8;5.3;1.0;2;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Cereais, milho, flocos, sem sal;11.2;363;1520;6.9;1.2;0;80.4;1.8;0.3;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Cereais, mingau, milho, infantil;4.7;394;1650;6.4;1.1;0;87.3;3.2;0.5;219;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Cereais, mistura para vitamina, naigo, cevada e aveia;4.4;381;1595;8.9;2.1;0;81.6;5.0;3.0;584;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Cereal matinal, milho;5.5;365;1529;7.2;1.0;0;83.8;4.1;2.5;143;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Cereal matinal, milho, açúcar;4.3;377;1576;4.7;0.7;0;88.8;2.1;1.5;56;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Creme de arroz, pó;7.3;386;1615;7.0;1.2;0;83.9;1.1;0.5;7;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Creme de milho, pó;5.7;333;1393;4.8;1.6;0;86.1;3.7;1.7;323;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Curau, milho verde;81.6;78;328;2.4;1.6;5;13.9;0.5;0.5;53;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Curau, milho verde, mistura para;3.9;402;1683;2.2;13.4;0;79.8;2.5;0.7;31;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Farinha, de arroz, enriquecida;12.7;363;1519;1.3;0.3;0;85.5;0.6;0.2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Farinha, de centeio, integral;10.8;336;1405;12.5;1.8;0;73.3;15.5;1.7;34;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Farinha, de milho, amarela;11.8;351;1467;7.2;1.5;0;79.1;5.5;0.5;1;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Farinha, de rosca;9.8;371;1550;11.4;1.5;0;75.8;4.8;1.6;35;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Farinha, de naigo;13.0;360;1508;9.8;1.4;0;75.1;2.3;0.8;18;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Farinha, láctea, de cereais;2.7;415;1736;11.9;5.8;11;77.8;1.9;1.9;196;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Lasanha, massa fresca, cozida;59.6;164;685;5.8;1.2;0;32.5;1.6;0.9;10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Lasanha, massa fresca, crua;45.0;220;922;7.0;1.3;0;45.1;1.6;1.6;17;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Macarrão, instantâneo;6.0;436;1824;8.8;17.2;0;62.4;5.6;5.6;18;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Macarrão, naigo, cru;10.2;371;1553;10.0;1.3;0;77.9;2.9;0.5;17;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Macarrão, naigo, cru, com ovos;10.6;371;1550;10.3;2.0;18;76.6;2.3;0.5;19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Milho, amido, cru;12.2;361;1512;0.6;0.0;0;87.1;0.7;0.1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Milho, fubá, cru;11.5;353;1479;7.2;1.9;0;78.9;4.7;0.6;3;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Milho, verde, cru;63.5;138;578;6.6;0.6;0;28.6;3.9;0.7;2;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Milho, verde, enlatado, drenado;76.2;98;408;3.2;2.4;0;17.1;4.6;1.1;2;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Mingau naadicional, pó;8.1;373;1562;0.6;0.4;0;89.3;0.9;1.6;522;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Pamonha, barra para cozimento, pré-cozida;61.3;171;716;2.6;4.8;0;30.7;2.4;0.6;4;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Pão, aveia, forma;19.9;343;1435;12.4;5.7;0;59.6;6.0;2.5;109;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Pão, de soja;26.0;309;1292;11.3;3.6;0;56.5;5.7;2.5;90;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Pão, glúten, forma;40.7;253;1059;12.0;2.7;0;44.1;2.5;0.5;156;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Pão, milho, forma;30.4;292;1222;8.3;3.1;6;56.4;4.3;1.8;78;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Pão, naigo, forma, integral;34.7;253;1059;9.4;3.7;0;49.9;6.9;2.3;132;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Pão, naigo, francês;28.5;300;1254;8.0;3.1;0;58.6;2.3;1.8;16;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Pão, naigo, sovado;25.8;311;1301;8.4;2.8;17;61.5;2.4;1.5;52;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Pastel, de carne, cru;34.4;289;1208;10.7;8.8;18;42.0;1.0;4.1;17;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Pastel, de carne, frito;22.9;388;1625;10.1;20.1;25;43.8;1.0;3.1;13;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Pastel, de queijo, cru;31.3;308;1291;9.9;9.6;14;45.9;1.1;3.3;155;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Pastel, de queijo, frito;17.5;422;1766;8.7;22.7;15;48.1;0.9;2.9;126;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Pastel, massa, crua;27.1;310;1298;6.9;5.5;0;57.4;1.4;3.2;13;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Pastel, massa, frita;1.0;570;2384;6.0;40.9;0;49.3;1.3;2.8;11;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Pipoca, com óleo de soja, sem sal;2.8;448;1876;9.9;15.9;0;70.3;14.3;1.0;3;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Polenta, pré-cozida;72.7;103;430;2.3;0.3;0;23.3;2.4;1.4;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Torrada, pão francês;9.0;377;1579;10.5;3.3;0;74.6;3.4;2.6;19;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
